Risk_Category,Issue_Type,Ward,City,State,Date,Year,Month,Day_of_Week,Risk_Level,Area_Type,Event_Type,Season,Complaint_Count,Population_Affected,Latitude,Longitude,Complaint_adj,Log_Complaint,Complaint_Per_1000,Pop_log,Day_num,Is_Weekend,Season_num,Quarter,Week_of_Year,Is_Festival,Is_Tourist,Month_sin,Month_cos,C_x_Season,C_x_Weekend,C_x_Festival,C_x_Tourist,Pop_x_C,C_x_Month,C_x_Quarter,C_x_Lat,C_x_Year,Year_norm,Lat_x_Lon,Pop_density,Risk_Category_enc,Issue_Type_enc,Ward_enc,City_enc,State_enc,Area_Type_enc,Event_Type_enc,Risk_Level_enc
Public Event & Gathering Risk,Traffic,Ward_21,Ahmedabad,Gujarat,2018-11-27,2018,11,Tuesday,Critical,Tourist,No_Event,Summer,563.0,715451.0,23.0225,72.5714,582.3,6.368701633759592,0.8139,13.4806697897744,1,0,0,4,48,1,1,-0.5000000000000004,0.8660254037844384,0.0,0.0,582.3,582.3,85.85436371430981,6405.299999999999,2329.2,13406.00175,1746.9,3,1670.7750565,1226.5575175724327,1,4,13,0,2,5,1,0
Summer Water Service Risk,Water Supply,Ward_49,Panaji,Goa,2022-08-20,2022,8,Saturday,High,Commercial,Festival,Winter,345.0,230832.0,15.4909,73.8278,350.9,5.863347044327539,1.5202,12.349449784331156,5,1,2,3,33,1,0,-0.8660254037844384,-0.5000000000000004,701.8,350.9,350.9,0.0,72.40910989202945,2807.2,1052.6999999999998,5435.75681,2456.3,7,1143.6590670199998,655.9590792838875,2,5,43,10,1,0,0,1
Public Event & Gathering Risk,Solid Waste,Ward_3,Pathanamthitta,Kerala,2018-11-13,2018,11,Tuesday,High,Residential,Festival,Summer,330.0,495500.0,9.2648,76.787,338.8,5.828357209237832,0.6838,13.113324650913617,1,0,0,4,46,1,1,-0.5000000000000004,0.8660254037844384,0.0,0.0,338.8,338.8,76.42914026622854,3726.8,1355.2,3138.91424,1016.4,3,711.4161976,1458.2107121836375,1,3,22,11,5,3,0,1
Summer Water Service Risk,Traffic,Ward_42,Indore,Madhya Pradesh,2018-09-02,2018,9,Sunday,Medium,Market,No_Event,Monsoon,254.0,786937.0,22.7196,75.8577,262.0,5.572154032177765,0.3329,13.57590474411833,6,1,1,3,35,1,0,-1.0,-1.8369701987210294e-16,262.0,262.0,262.0,0.0,75.64703236040019,2358.0,786.0,5952.5352,786.0,3,1723.4566009199998,2992.1558935361218,2,4,36,5,6,2,1,3
Summer Water Service Risk,Crowd Management,Ward_41,Jaipur,Rajasthan,2021-03-01,2021,3,Monday,Medium,Event Ground,Weekend,Summer,264.0,355231.0,26.9124,75.7873,278.1,5.6315701405422764,0.7829,12.780526376132372,0,0,0,1,9,1,1,1.0,6.123233995736766e-17,0.0,0.0,278.1,278.1,71.97443072024006,834.3000000000001,278.1,7484.338440000001,1668.6,6,2039.61813252,1272.7731995700465,2,0,35,6,8,1,4,3
Weekend Market Congestion Risk,Water Supply,Ward_6,Mumbai,Maharashtra,2019-07-08,2019,7,Monday,Medium,Temple,Public Event,Monsoon,156.0,277035.0,19.076,72.8777,158.2,5.0701612734102826,0.571,12.531902740623815,0,0,1,3,28,0,0,-0.4999999999999997,-0.8660254037844388,158.2,0.0,0.0,0.0,63.53876795765506,1107.4,474.6,3017.8232,632.8,4,1390.2150052000002,1740.1695979899498,4,5,46,9,7,4,2,3
Tourist Season Sanitation Risk,Public Safety,Ward_14,Indore,Madhya Pradesh,2023-05-15,2023,5,Monday,High,Commercial,Festival,Winter,326.0,128852.0,22.7196,75.8577,310.4,5.741078259399898,2.409,11.766427498696547,0,0,2,2,20,0,0,0.4999999999999999,-0.8660254037844387,620.8,0.0,0.0,0.0,67.55198110357186,1552.0,620.8,7052.163839999999,2483.2,8,1723.4566009199998,413.7829158638408,3,1,5,5,6,0,0,1
Festival Crowd Waste Risk,Traffic,Ward_39,Mumbai,Maharashtra,2022-10-31,2022,10,Monday,High,Tourist,Tourist,Summer,394.0,558749.0,19.076,72.8777,398.8,5.9909644220663,0.7137,13.233457424909917,0,0,0,4,44,1,0,-0.8660254037844386,0.5000000000000001,0.0,0.0,398.8,0.0,79.28117261356442,3988.0,1595.2,7607.5088,2791.6,7,1390.2150052000002,1397.5712856428213,0,4,32,9,7,5,3,1
Tourist Season Sanitation Risk,Public Safety,Ward_1,Shimla,Himachal Pradesh,2019-06-16,2019,6,Sunday,High,Temple,Weekend,Summer,358.0,62232.0,31.1048,77.1734,350.2,5.861355861760962,5.6273,11.038640684660963,6,1,0,2,24,0,0,1.2246467991473532e-16,-1.0,0.0,350.2,0.0,0.0,64.70140128291058,2101.2,700.4,10892.90096,1400.8,4,2400.46317232,177.1981776765376,3,1,0,14,3,4,4,1
Public Event & Gathering Risk,Sanitation,Ward_32,Kochi,Kerala,2023-06-05,2023,6,Monday,Critical,Event Ground,Public Event,Summer,536.0,377662.0,9.9312,76.2673,529.7,6.274196889833849,1.4026,12.84175754255704,0,0,0,2,23,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,80.57171523351174,3178.2000000000003,1059.4,5260.556640000001,4237.6,8,757.4258097600001,711.6299227435462,1,2,25,7,5,1,2,0
Tourist Season Sanitation Risk,Traffic,Ward_19,Mumbai,Maharashtra,2016-04-13,2016,4,Wednesday,High,Commercial,Weekend,Winter,310.0,140239.0,19.076,72.8777,317.0,5.762051382780177,2.2604,11.851110519595116,2,0,2,2,15,0,0,0.8660254037844387,-0.4999999999999998,634.0,0.0,0.0,0.0,68.28670775691374,1268.0,634.0,6047.092000000001,317.0,1,1390.2150052000002,441.003144654088,3,4,10,9,7,0,4,1
Summer Water Service Risk,Public Safety,Ward_23,Prayagraj,Uttar Pradesh,2016-09-25,2016,9,Sunday,Critical,Event Ground,Public Event,Summer,486.0,658410.0,25.4358,81.8463,500.9,6.218400896660888,0.7608,13.397584635374328,6,1,0,3,38,1,0,-1.0,-1.8369701987210294e-16,0.0,500.9,500.9,0.0,83.31155230970185,4508.099999999999,1502.6999999999998,12740.79222,500.9,1,2081.82611754,1311.8350268977886,2,1,15,12,11,1,2,0
Public Event & Gathering Risk,Traffic,Ward_32,Panaji,Goa,2017-11-26,2017,11,Sunday,Low,Residential,Weekend,Winter,136.0,652876.0,15.4909,73.8278,136.3,4.922168312773925,0.2088,13.389144029107449,6,1,2,4,47,1,1,-0.5000000000000004,0.8660254037844384,272.6,136.3,136.3,136.3,65.90362047523888,1499.3000000000002,545.2,2111.40967,272.6,2,1143.6590670199998,4755.10560815732,1,4,25,10,1,3,4,2
Tourist Season Sanitation Risk,Traffic,Ward_44,Thiruvananthapuram,Kerala,2019-02-23,2019,2,Saturday,Critical,Commercial,Festival,Monsoon,474.0,321897.0,8.5241,76.9366,477.7,6.171074096398463,1.484,12.681990004157935,5,1,1,1,8,0,1,0.8660254037844386,0.5000000000000001,477.7,477.7,0.0,477.7,78.26150000544328,955.4,477.7,4071.96257,1910.8,4,655.81527206,672.4399415082515,3,4,38,15,5,0,0,0
Festival Crowd Waste Risk,Public Safety,Ward_21,Shimla,Himachal Pradesh,2022-06-07,2022,6,Tuesday,Medium,Event Ground,Public Event,Summer,227.0,131136.0,31.1048,77.1734,247.4,5.515040350059324,1.8866,11.783997857240555,1,0,0,2,23,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,64.98922366769428,1484.4,494.8,7695.327520000001,1731.8,7,2400.46317232,527.9227053140097,0,1,13,14,3,1,2,3
Summer Water Service Risk,Public Safety,Ward_44,Prayagraj,Uttar Pradesh,2017-04-06,2017,4,Thursday,Medium,Tourist,No_Event,Summer,279.0,657107.0,25.4358,81.8463,281.9,5.645093478307522,0.429,13.395603667518897,3,0,0,2,14,0,0,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0,0.0,75.61943490150323,1127.6,563.8,7170.352019999999,563.8,2,2081.82611754,2322.753623188406,2,1,38,12,11,5,1,3
Tourist Season Sanitation Risk,Sanitation,Ward_27,Bengaluru,Karnataka,2016-08-10,2016,8,Wednesday,High,Residential,Public Event,Summer,357.0,762799.0,12.9716,77.5946,388.2,5.96409335031185,0.5089,13.5447511527084,2,0,0,3,32,1,0,-0.8660254037844384,-0.5000000000000004,0.0,0.0,388.2,0.0,80.78216028149693,3105.6,1164.6,5035.57512,388.2,1,1006.52611336,1959.915210688592,3,2,19,1,4,3,2,1
Festival Crowd Waste Risk,Solid Waste,Ward_9,Prayagraj,Uttar Pradesh,2019-03-10,2019,3,Sunday,Critical,Residential,Tourist,Winter,471.0,398726.0,25.4358,81.8463,477.8,6.171282973683818,1.1983,12.896032251166838,6,1,2,1,10,1,1,1.0,6.123233995736766e-17,955.6,477.8,477.8,477.8,79.5850642597033,1433.4,477.8,12153.22524,1911.2,4,2081.82611754,832.7610693400167,0,3,49,12,11,3,3,0
Public Event & Gathering Risk,Traffic,Ward_36,Pathanamthitta,Kerala,2020-12-08,2020,12,Tuesday,Critical,Temple,Tourist,Monsoon,584.0,495290.0,9.2648,76.787,562.9,6.334876930813136,1.1365,13.112900747605666,1,0,1,4,50,1,1,-2.4492935982947064e-16,1.0,562.9,0.0,562.9,562.9,83.06861244204946,6754.799999999999,2251.6,5215.155919999999,2814.5,5,711.4161976,878.3294910445114,1,4,29,11,5,4,3,0
Weekend Market Congestion Risk,Public Safety,Ward_33,Shimla,Himachal Pradesh,2020-02-22,2020,2,Saturday,Critical,Event Ground,No_Event,Winter,432.0,796952.0,31.1048,77.1734,441.0,6.091309882077698,0.5534,13.588550984891704,5,1,2,1,8,0,1,0.8660254037844386,0.5000000000000001,882.0,441.0,0.0,441.0,82.77207489738747,882.0,441.0,13717.2168,2205.0,5,2400.46317232,1803.058823529412,4,1,26,14,3,1,1,0
Weekend Market Congestion Risk,Sanitation,Ward_10,Jaipur,Rajasthan,2019-12-24,2019,12,Tuesday,High,Tourist,Public Event,Summer,362.0,610635.0,26.9124,75.7873,366.6,5.906995390481532,0.6004,13.32225631594651,1,0,0,4,52,1,1,-2.4492935982947064e-16,1.0,0.0,0.0,366.6,366.6,78.6945066491095,4399.200000000001,1466.4,9866.085840000002,1466.4,4,2039.61813252,1661.139825897715,4,2,1,6,8,5,2,1
Public Event & Gathering Risk,Sanitation,Ward_11,Thiruvananthapuram,Kerala,2016-11-02,2016,11,Wednesday,Critical,Commercial,Tourist,Monsoon,570.0,171129.0,8.5241,76.9366,585.5,6.37417266809353,3.4214,12.050178780571498,2,0,1,4,44,1,1,-0.5000000000000004,0.8660254037844384,585.5,0.0,585.5,585.5,76.80992022875947,6440.5,2342.0,4990.86055,585.5,1,655.81527206,291.78005115089513,1,2,2,15,5,0,3,0
Public Event & Gathering Risk,Traffic,Ward_2,Panaji,Goa,2018-08-24,2018,8,Friday,Medium,Temple,No_Event,Monsoon,267.0,442759.0,15.4909,73.8278,275.1,5.620763118936109,0.6213,13.00078314149956,4,0,1,3,34,1,0,-0.8660254037844384,-0.5000000000000004,275.1,0.0,275.1,0.0,73.07432239902705,2200.8,825.3000000000001,4261.54659,825.3000000000001,3,1143.6590670199998,1603.6182542557044,1,4,11,10,1,4,1,3
Tourist Season Sanitation Risk,Traffic,Ward_47,Ahmedabad,Gujarat,2016-05-24,2016,5,Tuesday,High,Market,Weekend,Winter,285.0,737028.0,23.0225,72.5714,283.3,5.650030018656954,0.3844,13.510382519108324,1,0,2,2,21,0,0,0.4999999999999999,-0.8660254037844387,566.6,0.0,0.0,0.0,76.3340667965002,1416.5,566.6,6522.27425,283.3,1,1670.7750565,2592.430531129089,3,4,41,0,2,2,4,1
Summer Water Service Risk,Public Safety,Ward_40,Delhi,Delhi,2023-07-29,2023,7,Saturday,High,Residential,No_Event,Summer,407.0,247719.0,28.6139,77.209,392.3,5.974572679437764,1.5836,12.420054355051995,5,1,0,3,30,0,0,-0.4999999999999997,-0.8660254037844388,0.0,392.3,0.0,0.0,74.20451742682567,2746.1,1176.9,11225.23297,3138.4,8,2209.2506051,629.8474446987033,2,1,34,3,0,3,1,1
Summer Water Service Risk,Crowd Management,Ward_44,Hyderabad,Telangana,2018-09-13,2018,9,Thursday,High,Residential,No_Event,Summer,305.0,318122.0,17.385,78.4867,302.5,5.715381610499553,0.9509,12.670193379430229,3,0,0,3,37,1,0,-1.0,-1.8369701987210294e-16,0.0,0.0,302.5,0.0,72.4149902422687,2722.5,907.5,5258.962500000001,907.5,3,1364.4912795,1048.177924217463,2,0,38,4,10,3,1,1
Weekend Market Congestion Risk,Sanitation,Ward_40,Hyderabad,Telangana,2018-03-19,2018,3,Monday,Medium,Temple,No_Event,Summer,228.0,415296.0,17.385,78.4867,217.8,5.388158070547826,0.5244,12.93674920589904,0,0,0,1,12,1,1,1.0,6.123233995736766e-17,0.0,0.0,217.8,217.8,69.70524964041809,653.4000000000001,217.8,3786.453,653.4000000000001,3,1364.4912795,1898.0621572212065,4,2,34,4,10,4,1,3
Weekend Market Congestion Risk,Water Supply,Ward_4,Jaipur,Rajasthan,2020-07-02,2020,7,Thursday,Critical,Event Ground,Tourist,Summer,527.0,174243.0,26.9124,75.7873,520.0,6.255750041753367,2.9843,12.068211894744422,3,0,0,3,27,0,0,-0.4999999999999997,-0.8660254037844388,0.0,0.0,0.0,0.0,75.4957170644359,3640.0,1560.0,13994.448,2600.0,5,2039.61813252,334.4395393474088,4,5,33,6,8,1,3,0
Tourist Season Sanitation Risk,Crowd Management,Ward_7,Panaji,Goa,2021-09-10,2021,9,Friday,Critical,Tourist,No_Event,Summer,506.0,218547.0,15.4909,73.8278,513.1,6.242417799061459,2.3478,12.294760949025612,4,0,0,3,36,1,0,-1.0,-1.8369701987210294e-16,0.0,0.0,513.1,0.0,76.74903458340324,4617.900000000001,1539.3000000000002,7948.38079,3078.6000000000004,6,1143.6590670199998,425.106010503793,3,0,47,10,1,5,1,0
Weekend Market Congestion Risk,Water Supply,Ward_44,Chennai,Tamil Nadu,2022-08-03,2022,8,Wednesday,Critical,Commercial,Weekend,Summer,590.0,592316.0,13.0827,80.2707,610.0,6.415096959171596,1.0299,13.291797243524622,2,0,0,3,31,1,0,-0.8660254037844384,-0.5000000000000004,0.0,0.0,610.0,0.0,85.2681680788602,4880.0,1830.0,7980.447,4270.0,7,1050.1574868900002,969.4206219312604,4,5,38,2,9,0,4,0
Public Event & Gathering Risk,Water Supply,Ward_42,Chennai,Tamil Nadu,2024-10-06,2024,10,Sunday,Medium,Market,Public Event,Summer,188.0,369708.0,13.0827,80.2707,192.7,5.266310570412951,0.5212,12.820471488691163,6,1,0,4,40,1,0,-0.8660254037844386,0.5000000000000001,0.0,192.7,192.7,0.0,67.51658451857215,1927.0,770.8,2521.03629,1734.3,9,1050.1574868900002,1908.6628807434176,1,5,36,2,9,2,2,3
Summer Water Service Risk,Solid Waste,Ward_14,Bengaluru,Karnataka,2024-01-05,2024,1,Friday,High,Tourist,Weekend,Winter,388.0,385601.0,12.9716,77.5946,373.6,5.925858790009988,0.9689,12.862561028427068,4,0,2,1,1,1,1,0.4999999999999999,0.8660254037844387,747.2,0.0,373.6,373.6,76.22172033234445,373.6,373.6,4846.18976,3362.4,9,1006.52611336,1029.3673251468233,2,3,5,1,4,5,4,1
Festival Crowd Waste Risk,Sanitation,Ward_44,Thiruvananthapuram,Kerala,2021-06-24,2021,6,Thursday,High,Tourist,No_Event,Summer,404.0,284388.0,8.5241,76.9366,409.3,6.016888599448141,1.4392,12.558098298244788,3,0,0,2,25,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,75.56067848145817,2455.8,818.6,3488.914130000001,2455.8,6,655.81527206,693.1221057762613,0,2,38,15,5,5,1,1
Weekend Market Congestion Risk,Sanitation,Ward_8,Ahmedabad,Gujarat,2017-06-06,2017,6,Tuesday,Low,Residential,Tourist,Winter,88.0,302287.0,23.0225,72.5714,102.4,4.638604962074329,0.3388,12.6191354843131,1,0,2,2,23,0,0,1.2246467991473532e-16,-1.0,204.8,0.0,0.0,0.0,58.53518447462298,614.4000000000001,204.8,2357.5040000000004,204.8,2,1670.7750565,2923.4719535783365,4,2,48,0,2,3,3,2
Festival Crowd Waste Risk,Public Safety,Ward_19,Pathanamthitta,Kerala,2018-02-26,2018,2,Monday,High,Residential,Weekend,Monsoon,409.0,88682.0,9.2648,76.787,401.7,5.998191867857408,4.5297,11.392823492657367,0,0,1,1,9,0,1,0.8660254037844386,0.5000000000000001,401.7,0.0,0.0,401.7,68.33634122559226,803.4,401.7,3721.67016,1205.1,3,711.4161976,220.21852495654332,0,1,10,11,5,3,4,1
Summer Water Service Risk,Solid Waste,Ward_37,Kochi,Kerala,2016-10-05,2016,10,Wednesday,Low,Tourist,Festival,Summer,67.0,528074.0,9.9312,76.2673,65.4,4.1956970564823886,0.1238,13.176993598055445,2,0,0,4,40,1,0,-0.8660254037844386,0.5000000000000001,0.0,0.0,65.4,0.0,55.2866732526485,654.0,261.6,649.50048,65.4,1,757.4258097600001,7952.921686746988,2,3,30,7,5,5,0,2
Tourist Season Sanitation Risk,Traffic,Ward_8,Prayagraj,Uttar Pradesh,2022-11-16,2022,11,Wednesday,Low,Commercial,Tourist,Winter,128.0,415962.0,25.4358,81.8463,128.2,4.861361591348501,0.3082,12.938351592980109,2,0,2,4,46,1,1,-0.5000000000000004,0.8660254037844384,256.4,0.0,128.2,128.2,62.89800548947619,1410.1999999999998,512.8,3260.86956,897.3999999999999,7,2081.82611754,3219.5201238390096,3,4,48,12,11,0,3,2
Festival Crowd Waste Risk,Water Supply,Ward_12,Thiruvananthapuram,Kerala,2023-07-19,2023,7,Wednesday,High,Commercial,Tourist,Winter,384.0,90924.0,8.5241,76.9366,374.6,5.928524747334108,4.1199,11.417790269855187,2,0,2,3,29,0,0,-0.4999999999999997,-0.8660254037844388,749.2,0.0,0.0,0.0,67.69065217470707,2622.2000000000003,1123.8000000000002,3193.1278600000005,2996.8,8,655.81527206,242.0766773162939,0,5,3,15,5,0,3,1
Weekend Market Congestion Risk,Water Supply,Ward_24,Hyderabad,Telangana,2023-12-04,2023,12,Monday,High,Commercial,No_Event,Summer,371.0,290738.0,17.385,78.4867,378.8,5.939644798378185,1.3029,12.580181236475193,0,0,0,4,49,1,1,-2.4492935982947064e-16,1.0,0.0,0.0,378.8,378.8,74.72180804388472,4545.6,1515.2,6585.438000000001,3030.4,8,1364.4912795,765.5028962611901,4,5,16,4,10,0,1,1
Summer Water Service Risk,Crowd Management,Ward_38,Kochi,Kerala,2020-04-28,2020,4,Tuesday,Low,Commercial,Public Event,Winter,117.0,519009.0,9.9312,76.2673,115.5,4.757891273005756,0.2225,13.15967842978514,1,0,2,2,18,0,0,0.8660254037844387,-0.4999999999999998,231.0,0.0,0.0,0.0,62.61231915663681,462.0,231.0,1147.0536,577.5,5,757.4258097600001,4455.01287553648,2,0,31,7,5,0,2,2
Summer Water Service Risk,Solid Waste,Ward_35,Kochi,Kerala,2018-12-24,2018,12,Monday,Medium,Commercial,Public Event,Summer,208.0,434734.0,9.9312,76.2673,213.0,5.365976015021851,0.49,12.982491929033609,0,0,0,4,52,1,1,-2.4492935982947064e-16,1.0,0.0,0.0,213.0,213.0,69.6637403064091,2556.0,852.0,2115.3456,639.0,3,757.4258097600001,2031.4672897196265,2,3,28,7,5,0,2,3
Tourist Season Sanitation Risk,Traffic,Ward_49,Kochi,Kerala,2020-08-29,2020,8,Saturday,Low,Tourist,Tourist,Winter,114.0,469961.0,9.9312,76.2673,103.4,4.648229675448539,0.22,13.060407119353789,5,1,2,3,35,1,0,-0.8660254037844384,-0.5000000000000004,206.8,103.4,103.4,0.0,60.70777194561965,827.2,310.20000000000005,1026.88608,517.0,5,757.4258097600001,4501.5421455938695,3,4,43,7,5,5,3,2
Weekend Market Congestion Risk,Solid Waste,Ward_18,Delhi,Delhi,2022-10-26,2022,10,Wednesday,Critical,Event Ground,Public Event,Summer,583.0,411264.0,28.6139,77.209,577.8,6.360956994757329,1.4049,12.926993054560686,2,0,0,4,43,1,0,-0.8660254037844386,0.5000000000000001,0.0,0.0,577.8,0.0,82.2280468915872,5778.0,2311.2,16533.11142,4044.6,7,2209.2506051,710.5459571527299,4,3,9,3,0,1,2,0
Public Event & Gathering Risk,Traffic,Ward_43,Shimla,Himachal Pradesh,2019-08-26,2019,8,Monday,High,Residential,No_Event,Summer,324.0,98494.0,31.1048,77.1734,332.7,5.810242385757328,3.3779,11.497761064450456,0,0,0,3,35,1,0,-0.8660254037844384,-0.5000000000000004,0.0,0.0,332.7,0.0,66.80477867798034,2661.6,998.1,10348.56696,1330.8,4,2400.46317232,295.15732694036564,1,4,37,14,3,3,1,1
Tourist Season Sanitation Risk,Traffic,Ward_36,Thiruvananthapuram,Kerala,2019-09-05,2019,9,Thursday,Critical,Residential,Tourist,Monsoon,503.0,314348.0,8.5241,76.9366,498.5,6.2136075980886085,1.5858,12.65825911263866,3,0,1,3,36,1,0,-1.0,-1.8369701987210294e-16,498.5,0.0,498.5,0.0,78.65345500086593,4486.5,1495.5,4249.26385,1994.0,4,655.81527206,629.3253253253254,3,4,29,15,5,3,3,0
Festival Crowd Waste Risk,Traffic,Ward_3,Jaipur,Rajasthan,2024-08-13,2024,8,Tuesday,Medium,Commercial,Tourist,Monsoon,243.0,668764.0,26.9124,75.7873,263.7,5.578597109233056,0.3943,13.41318800684735,1,0,1,3,33,1,0,-0.8660254037844384,-0.5000000000000004,263.7,0.0,263.7,0.0,74.82677184059811,2109.6,791.0999999999999,7096.7998800000005,2373.3,9,2039.61813252,2526.4979221760486,0,4,22,6,8,0,3,3
Weekend Market Congestion Risk,Water Supply,Ward_7,Thiruvananthapuram,Kerala,2020-09-21,2020,9,Monday,Low,Tourist,Public Event,Winter,81.0,184318.0,8.5241,76.9366,76.2,4.3463994570307305,0.4134,12.124423231127723,0,0,2,3,39,1,0,-1.0,-1.8369701987210294e-16,152.4,0.0,76.2,0.0,52.69758654858431,685.8000000000001,228.6,649.53642,381.0,5,655.81527206,2387.538860103627,4,5,47,15,5,5,2,2
Weekend Market Congestion Risk,Water Supply,Ward_28,Chennai,Tamil Nadu,2016-09-06,2016,9,Tuesday,Medium,Market,Public Event,Winter,211.0,168078.0,13.0827,80.2707,213.7,5.369241704884735,1.2714,12.032189385953348,1,0,2,3,36,1,0,-1.0,-1.8369701987210294e-16,427.4,0.0,213.7,0.0,64.60373305213217,1923.3,641.0999999999999,2795.77299,213.7,1,1050.1574868900002,782.8504890544947,4,5,20,2,9,2,2,3
Festival Crowd Waste Risk,Crowd Management,Ward_45,Chennai,Tamil Nadu,2017-06-24,2017,6,Saturday,High,Temple,Weekend,Winter,380.0,709404.0,13.0827,80.2707,391.2,5.971771913762246,0.5514,13.472181869506574,5,1,2,2,25,0,0,1.2246467991473532e-16,-1.0,782.4,391.2,0.0,0.0,80.45279730541631,2347.2,782.4,5117.9522400000005,782.4,2,1050.1574868900002,1808.7812340642529,0,0,39,2,9,4,4,1
Tourist Season Sanitation Risk,Public Safety,Ward_15,Pune,Maharashtra,2016-08-30,2016,8,Tuesday,Critical,Residential,Public Event,Winter,536.0,166086.0,18.5204,73.8567,519.0,6.253828811575473,3.1249,12.02026702643368,1,0,2,3,35,1,0,-0.8660254037844384,-0.5000000000000004,1038.0,0.0,519.0,0.0,75.17269225274158,4152.0,1557.0,9612.0876,519.0,1,1367.85562668,319.3961538461538,3,1,6,13,7,3,2,0
Summer Water Service Risk,Crowd Management,Ward_39,Hyderabad,Telangana,2017-11-20,2017,11,Monday,Critical,Temple,Festival,Summer,556.0,246831.0,17.385,78.4867,534.9,6.283947576500805,2.1671,12.41646322225172,0,0,0,4,47,1,1,-0.5000000000000004,0.8660254037844384,0.0,0.0,534.9,534.9,78.02440397418007,5883.9,2139.6,9299.2365,1069.8,2,1364.4912795,460.59152827019966,2,0,32,4,10,4,0,0
Tourist Season Sanitation Risk,Sanitation,Ward_34,Pune,Maharashtra,2022-10-03,2022,10,Monday,Low,Commercial,Tourist,Winter,137.0,258553.0,18.5204,73.8567,118.7,4.784988612563928,0.4591,12.462859848600072,0,0,2,4,40,1,0,-0.8660254037844386,0.5000000000000001,237.4,0.0,118.7,0.0,59.63464245553154,1187.0,474.8,2198.37148,830.9,7,1367.85562668,2160.0083542188804,3,2,27,13,7,0,3,2
Tourist Season Sanitation Risk,Solid Waste,Ward_47,Bengaluru,Karnataka,2021-11-02,2021,11,Tuesday,Low,Temple,Public Event,Monsoon,72.0,641451.0,12.9716,77.5946,87.2,4.4796069630127455,0.1359,13.371489635608553,1,0,1,4,44,1,1,-0.5000000000000004,0.8660254037844384,87.2,0.0,87.2,87.2,59.89901807752482,959.2,348.8,1131.12352,523.2,6,1006.52611336,7272.687074829932,3,3,41,1,4,4,2,2
Weekend Market Congestion Risk,Crowd Management,Ward_20,Chennai,Tamil Nadu,2018-02-13,2018,2,Tuesday,Critical,Temple,Tourist,Summer,450.0,469434.0,13.0827,80.2707,443.4,6.096725057765475,0.9445,13.05928512289162,1,0,0,1,7,0,1,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,443.4,79.61887084523723,886.8,443.4,5800.86918,1330.1999999999998,3,1050.1574868900002,1056.3321332133214,4,0,12,2,9,4,3,0
Public Event & Gathering Risk,Solid Waste,Ward_3,Indore,Madhya Pradesh,2022-11-13,2022,11,Sunday,High,Event Ground,No_Event,Winter,318.0,690380.0,22.7196,75.8577,348.7,5.85707564406933,0.5051,13.444998898094566,6,1,2,4,45,1,1,-0.5000000000000004,0.8660254037844384,697.4,348.7,348.7,348.7,78.74837558056866,3835.7,1394.8,7922.32452,2440.9,7,1723.4566009199998,1974.2064626822992,1,3,22,5,6,1,1,1
Public Event & Gathering Risk,Crowd Management,Ward_50,Panaji,Goa,2024-02-05,2024,2,Monday,Medium,Temple,No_Event,Winter,156.0,410982.0,15.4909,73.8278,149.2,5.011967739330034,0.363,12.926307130092503,0,0,2,1,6,0,1,0.8660254037844386,0.5000000000000001,298.4,0.0,0.0,149.2,64.78623432469543,298.4,149.2,2311.24228,1342.8,9,1143.6590670199998,2736.231691078562,1,0,45,10,1,4,1,3
Public Event & Gathering Risk,Water Supply,Ward_9,Thiruvananthapuram,Kerala,2022-03-22,2022,3,Tuesday,Critical,Residential,Festival,Summer,543.0,443456.0,8.5241,76.9366,545.2,6.302985209039605,1.2294,13.002356119999664,1,0,0,1,12,1,1,1.0,6.123233995736766e-17,0.0,0.0,545.2,545.2,81.95365830702347,1635.6,545.2,4647.339320000001,3816.400000000001,7,655.81527206,811.8930794580739,1,5,49,15,5,3,0,0
Summer Water Service Risk,Public Safety,Ward_34,Bengaluru,Karnataka,2021-08-21,2021,8,Saturday,Critical,Commercial,Public Event,Summer,555.0,354873.0,12.9716,77.5946,573.5,6.35350009728881,1.6161,12.779518075877675,5,1,0,3,33,1,0,-0.8660254037844384,-0.5000000000000004,0.0,573.5,573.5,0.0,81.19466933839293,4588.0,1720.5,7439.2126,3441.0,6,1006.52611336,617.7075718015666,2,1,27,1,4,0,2,0
Festival Crowd Waste Risk,Sanitation,Ward_47,Pune,Maharashtra,2016-01-04,2016,1,Monday,Medium,Residential,Tourist,Winter,214.0,577735.0,18.5204,73.8567,238.1,5.476881874464279,0.4121,13.2668722959088,0,0,2,1,1,1,1,0.4999999999999999,0.8660254037844387,476.2,0.0,238.1,238.1,72.6610924082952,238.1,238.1,4409.70724,238.1,1,1367.85562668,2416.290255123379,0,2,41,13,7,3,3,3
